Code,Districts,Libellé,Latitude,Longitude,Voitures de tourisme pour 1000 habitants 2023,Nb. d'accidents avec blessés/tués 2022,Nb. d'accidents avec dommages matériels 2022,Part des voitures électriques 2023,Gare/station,Surface totale,Altitude maximale,Altitude minimale,Habitat et infrastructures (part du territoire) 2020,Surfaces boisées (part du territoire) 2020,Surfaces agricoles (part du territoire) 2020,Surfaces improductives (part du territoire) 2020,Taux d'accroissement des logements 2021,Densité de population 2023,Part des maisons individuelles 2022,Etablissements tous secteurs 2021,Rapport de dépendance des jeunes 2023,Rapport de dépendance des personnes âgées 2023,Taux annuel 2016-2020,Population résidante permanente 2023,Part des élèves du primaire dans la population 2022,Part des élèves du secondaire inférieur dans la population 2022,Coefficient d'imposition communal 2022,Dépenses d'investissement par habitant (moyenne des 3 dernières années 2022),Marge d'autofinancement par habitant 2022,Excédent ou insuffisance de financement par habitant 2022
5401,Aigle,Aigle,46.3179006,6.9688929,473.8,29,44,2,1,1651,1053,380,29.3,36.7,29,5,2.37,697,12.5,913,37.7,28.8,1.94,11437,8.96,3.26,66,1124.9,791.6,186
5402,Aigle,Bex,46.2513776,7.0123881,501.9,16,22,2.9,1,9662,3205,390,5.2,35.1,26,33.8,1.39,88.1,29.5,544,40.7,30.9,1.33,8508,9.42,3.4,71,596.5,770.2,470.9
5403,Aigle,Chessel,46.3495725,6.8944469,558.8,1,2,3.1,0,353,385,372,13.6,20.7,58.9,6.8,0,146.2,32.4,36,38.7,26,2.97,519,9.09,3.03,65,228.7,617.5,303
5404,Aigle,Corbeyrier,46.3495001,6.9597544,614.9,4,1,2.1,0,2202,2316,493,2.2,55,36.2,6.6,0,21.1,58.3,29,31.8,62.3,0.28,464,7.05,3.18,74,366.7,564.1,132.5
5405,Aigle,Gryon,46.2746628,7.063671,566.2,1,3,3.2,1,1522,2624,709,13.1,53.2,26,7.8,0.35,99.9,41.5,135,31.1,36.1,0.66,1520,6.84,2.09,73.5,725.1,775.8,526
5406,Aigle,Lavey-Morcles,46.2073771,7.0414640650203,501,0,3,3.1,0,1415,2927,401,5.9,64.2,18.1,11.9,1.62,72,35.4,57,39.3,36.3,0.59,1022,0,0.2,71.5,676.2,957.5,746.3
5407,Aigle,Leysin,46.3438701,7.0148403,403.8,3,4,2.1,1,1854,2331,670,9.1,38.5,32.7,19.7,0.11,200.8,16.5,240,43.9,26.4,-2.83,3729,6.09,2.78,78,928.7,429.5,-1264.4
5408,Aigle,Noville,46.3817112,6.8996176,616.5,5,7,3.3,0,1038,385,368,10.5,36.7,38.2,14.5,0.38,113.6,31.6,114,41.1,31.6,2.6,1180,9.15,4.45,75,670.6,1678.9,698.1
5409,Aigle,Ollon,46.2972426,6.9950257,577.9,22,33,3.6,1,5953,2197,383,11.5,47.6,37.4,3.5,0.57,136.6,28.5,561,49.6,34.7,0.53,8137,5.97,2.6,68,1623,1235.2,-692.5
5410,Aigle,Ormont-Dessous,46.3744114999999,7.07297898556809,595.6,6,12,1.5,1,6408,2476,701,3.7,47.2,37.8,11.4,0.06,18.9,52.8,135,33.7,37.6,1.66,1211,6.96,2.72,77,824.3,1521,959.5
5411,Aigle,Ormont-Dessus,46.3425781,7.16307028545794,694.9,7,7,3.8,1,6163,3210,1007,3.9,34.4,31.9,29.8,0.22,23.2,30.8,215,28.7,55,-0.22,1427,7.16,2.46,76,632.9,1440.5,848.3
5412,Aigle,Rennaz,46.3757048,6.9190655,587.8,6,19,2.4,0,217,385,372,35.9,1.8,61.3,0.9,0,423.7,11.7,86,37.5,27.4,1.34,928,9.8,3.55,69,578.9,1365.4,305.4
5413,Aigle,Roche,46.3610602,6.9309298,518.1,5,3,3.3,1,644,1497,374,16,30.9,49.1,4,0.94,303.6,22.6,101,44.7,22.3,4,1958,11.86,4.28,68,299.1,1665.1,1447.9
5414,Aigle,Villeneuve,46.3965712,6.9248129,472.6,15,12,2.4,1,3202,2041,372,8.8,56.1,25.6,9.5,0.44,189.4,14.9,399,37.3,28.6,1.7,6057,8.75,3.71,67.5,929.9,822.5,453.9
5415,Aigle,Yvorne,46.3317116,6.9586852,638.8,5,3,2.4,0,1219,1545,374,9.8,39.4,47.4,3.4,0,90.8,32.4,122,33.9,31,0.21,1108,8.55,3.13,71.5,318.2,533.5,321
5422,Morges,Aubonne,46.4952916,6.3915748,625.6,13,9,4.7,0,1436,716,400,15.5,26.3,57.4,0.8,0,267.9,21.2,426,36.2,28.7,-0.2,3841,7.91,3.59,70,846.2,948.7,535.2
5423,Morges,Ballens,46.5542745,6.3750843,630.4,0,2,4.4,1,841,730,662,6.5,29.8,62.5,1.1,0.4,68.2,28.7,36,36.2,31.8,2.56,576,6.95,2.88,73,55.7,885.4,885.4
5424,Morges,Berolle,46.5583845,6.3373241,645,0,0,4.5,0,964,1602,690,2.6,63,34.3,0.1,0,31.6,47.7,31,32.5,24.2,0.98,304,7.26,4.95,75.5,1396.7,610.2,541.1
5425,Morges,Bière,46.5373773,6.3337235,580.5,2,8,1.8,1,2502,1609,564,7.6,52.3,37.4,2.8,0.88,68.5,18,110,36.7,28.7,1.28,1717,9.63,3.21,69,410.8,1087,569.4
5426,Morges,Bougy-Villars,46.4787593,6.3545367,743.6,0,0,5,0,179,720,462,38,23.5,36.9,1.7,0.41,289.3,57.4,30,30.1,35.6,0.53,512,4.35,2.57,64.5,1917.3,1367.3,657.1
5427,Morges,Féchy,46.4786555,6.3747532,680.6,0,1,5.7,0,268,672,377,22.8,6.7,70.1,0.4,0,331.9,37,67,38.3,26.1,-0.51,896,7.89,3.16,64,1228.5,1213.7,693.9
5428,Morges,Gimel,46.5088102,6.3070695,576.8,4,8,3,0,1890,1496,670,6.2,62.1,31.2,0.5,2.68,130.6,26.6,132,43.1,30,4.32,2465,9.78,3.48,74.5,243.5,774.7,690.9
5429,Nyon,Longirod,46.4943826,6.2581282,619.9,2,1,7.2,0,948,1494,733,3.6,57.5,38.6,0.3,0,58.7,43,39,39,32.8,1.8,555,8.32,4.07,77.5,307.5,420.4,261.8
5430,Nyon,Marchissy,46.4880255,6.2469182,671.9,1,1,5.3,0,1194,1494,712,3.3,65.1,31.6,0.1,0,42.4,34.5,36,39.1,26.4,2.84,508,7.21,3.41,77.5,400,548.7,414.9
5431,Morges,Mollens,46.577232,6.3634849,671.7,0,1,5.4,0,1105,1601,665,2.5,51.3,45.6,0.5,0,29.3,31.7,36,26.3,22.1,2.84,322,5.25,1.85,74,61,287.2,195.1
5434,Nyon,Saint-George,46.5138321,6.2602719,649.5,1,1,4.8,0,1232,1446,773,6.7,76.5,16.6,0.3,0.19,86.1,50.5,71,41.5,31.3,2.03,1061,8.33,4.86,69.5,369.3,2453.9,1941.4
5435,Morges,Saint-Livres,46.5088701,6.3865672,677.6,2,2,4,0,812,717,445,6.5,43.6,49,0.9,1.24,85.8,34.4,52,32.9,21,-0.22,697,7.89,3.3,69,172.2,436.7,-69
5436,Morges,Saint-Oyens,46.4980293,6.3063994,630.8,0,0,8.7,0,304,870,706,5.6,38.8,55.3,0.3,0,147.1,55.2,19,44.2,20.1,7.13,450,9.21,1.54,79,32.6,246.2,148
5437,Morges,Saubraz,46.5145609,6.3302084,615.9,0,0,7.9,0,369,807,592,7.9,46.6,44.7,0.8,3.43,121,47.8,27,44.5,15.3,0.18,449,8.69,4.68,80,72.5,1261.8,1166.9
5451,Broye-Vully,Avenches,46.879575,7.040941,572.8,14,17,2.6,1,1943,645,429,20.4,16.5,62,1.1,0.12,250.3,19.7,344,38.1,26.8,2.07,4873,10.11,3.66,66.5,912.1,1237.8,870.2
5456,Broye-Vully,Cudrefin,46.9560359,7.0183078,684.7,3,0,4.2,0,1586,579,428,10.1,23.2,58.2,8.5,3.85,121.1,51.2,128,35.1,25.2,3.44,1878,8.64,4.32,59,376.8,338.9,-461
5458,Broye-Vully,Faoug,46.9057923,7.0740011,631.9,2,3,4.6,1,349,486,429,20.1,26.4,53,0.6,0,260.3,41,62,29.5,25.9,0.31,906,7.53,2.66,65,175.7,356.1,45.7
5464,Broye-Vully,Vully-les-Lacs,46.9202735,7.01014507803554,673.4,3,5,4,0,2114,591,429,13.6,17.3,65,4.1,0.76,172.8,43.2,219,36.9,31.9,3.44,3614,9.24,2.74,67,563.3,682.9,-512
5471,Gros-de-Vaud,Bettens,46.6275904,6.5770883,729.6,1,1,4.7,0,376,619,505,15.7,12.2,70.2,1.9,0,172.2,21.5,32,31.8,11.6,2.16,644,11.38,3.38,70,2484.8,557.2,-904.5
5472,Gros-de-Vaud,Bournens,46.6041672,6.5633012,617.6,0,1,6,0,389,619,486,8,17.2,74,0.8,0,132.7,33.9,34,44.1,22.8,7.28,519,7.78,4.09,68,1042,1616.7,132.4
5473,Gros-de-Vaud,Boussens,46.6024104,6.5845617,623.5,1,2,2.8,0,318,613,586,11.6,13.8,74.5,0,1.28,323.7,34.6,53,45,23.8,0.48,1023,11.3,4.26,66,116,614.9,496.1
5474,Morges,La Chaux (Cossonay),46.61604,6.472555,771,3,1,3,0,678,623,530,7.2,17.6,74.6,0.6,0,64.2,42.8,38,39.8,34.1,-1.83,433,10.19,4.85,76,91.5,284.2,163.5
5475,Morges,Chavannes-le-Veyron,46.60645,6.4509017,650,1,1,3.8,0,266,639,566,7.1,24.8,67.3,0.8,0,59.8,25.8,15,50,29.5,1.54,158,11.66,1.23,75,0,-44.3,-44.3
5476,Morges,Chevilly,46.642766,6.4771672,644.8,0,0,5.6,0,382,625,492,5,18.6,76.2,0.3,0,86.6,28.7,16,40.8,17.4,1.47,337,10.88,2.11,72.5,180.7,556,438.4
5477,Morges,Cossonay,46.6138202,6.508938,568.5,4,7,3.9,1,824,619,428,17.6,23.9,57.8,0.7,1.5,576.3,12.8,282,34.1,21.9,3.83,4772,8.04,3.37,68,678.2,931.8,510.9
5479,Morges,Cuarnens,46.6248084,6.4382631,655.4,0,0,4.6,0,706,748,589,5.4,30.6,63.7,0.3,0,75.9,27,49,42.1,29.1,2.31,541,8.99,2.39,77,523.7,631.6,403.1
5480,Gros-de-Vaud,Daillens,46.6202897,6.5487115,638.9,2,1,5.5,0,549,596,437,16.9,19.1,63.4,0.5,0.43,192.4,30.3,79,42.8,24.4,2.27,1062,11.26,3.88,66,743.1,1181.4,34.3
5481,Morges,Dizy,46.6348867,6.4949896,685.6,0,0,1.3,0,307,606,517,10.7,23.1,65.1,1,0,78,31.7,24,32.3,17.7,0.22,237,10.78,3.45,75,81.7,701.1,461.3
5482,Morges,Eclépens,46.6515007,6.5285061,693.6,7,7,2.5,1,583,603,442,22.3,25.7,50.8,1.2,0.19,203.8,23,92,37.6,27,4,1182,10.26,2.67,46,274.3,554.9,126.2
5483,Morges,Ferreyres,46.6577788,6.4860425,598.1,0,2,4.7,0,320,697,470,9.7,41.3,47.5,1.6,1.47,100.9,44.9,28,43,28.5,0.24,319,12.01,3.57,76,0.8,522.3,522.3
5484,Morges,Gollion,46.5852339,6.5088361,622.4,1,1,4.7,0,548,562,405,8.8,11.5,79.4,0.4,1.05,195.2,14.8,75,37.8,23,2.51,1064,10.07,2.71,74,1932.9,646.2,-881.9
5485,Morges,Grancy,46.5915221,6.4649462,629.8,2,1,2.6,0,564,622,545,6,26.2,67.6,0.2,13.87,96.5,25.2,34,42.3,19.5,-0.12,547,11.04,3.89,70,287.3,-623.6,-1410.8
5486,Morges,L'Isle,46.6187582,6.411704,654.9,6,1,2.5,1,1626,1429,599,5.9,46.2,47.5,0.4,0.19,67.1,29.3,99,38.2,32.9,0.77,1088,7.58,3.38,75,561.7,1354.8,1373.7
5487,Gros-de-Vaud,Lussery-Villars,46.6309961,6.5251994,654.7,1,1,4.2,0,375,571,433,6.9,9.9,81.1,2.1,0,126.5,26.8,32,32.6,21.5,-0.16,473,6.64,2.7,75,117.6,310.2,491.3
5488,Morges,Mauraz,46.6054096,6.4227461,546.9,0,0,0,1,47,664,620,8.5,10.6,78.7,2.1,0,128,16.7,7,36.6,19.5,2.28,64,4.62,7.69,77,4264,2052.3,-807.2
5489,Gros-de-Vaud,Mex,46.5784364,6.5538256,743.2,3,0,4.5,0,290,586,465,20.7,30,49.3,0,0.79,288.3,31.9,53,33.6,30.6,2.74,816,6,2.57,59.5,502.9,1043.1,-284.5
5490,Morges,Moiry,46.6485773,6.4552338,600.7,0,2,1.7,0,667,755,549,3.3,55.5,41.2,0,0,44.6,41.6,33,35.9,38.8,0.57,297,8.78,2.03,77,138.3,334.8,175.7
5491,Morges,Mont-la-Ville,46.645546,6.4077926,637.6,10,5,4.7,1,1981,1441,728,3.4,52.1,44.4,0.2,0.85,25.1,52.5,33,42.1,29.3,5.07,497,7.97,3.59,76,2246.2,552.9,-2081
5492,Morges,Montricher,46.6001762,6.375822,715,1,3,2.8,1,2595,1679,651,3.9,58.3,37.2,0.6,0,37,28.9,82,29.6,28.6,0.34,962,7.67,2.56,64,1251.3,368.6,365.3
5493,Morges,Orny,46.6676263,6.5256309,627.5,1,1,3.5,0,551,591,437,6.5,15.6,76.8,1.1,5.67,90.1,31.2,28,34.6,22.6,5.64,500,8.06,2.27,73,17.3,484,484
5495,Gros-de-Vaud,Penthalaz,46.6113262,6.5252453,578.5,6,6,2.8,1,385,529,420,28.8,18.2,51.7,1.3,0,826.6,14.2,200,37.1,30.7,-0.35,3199,9.21,3.3,74,301.7,640.6,264.4
5496,Gros-de-Vaud,Penthaz,46.597822,6.540398,677.5,4,3,4.4,0,385,529,413,18.4,13.2,64.7,3.6,1.14,494.5,39.3,119,40.4,22.8,2.16,1899,10.14,4.42,69.5,255.5,387.6,267.2
5497,Morges,Pompaples,46.6666443,6.5106833,526.8,0,1,2.3,0,445,582,437,11,18.2,69.7,1.1,0.54,208.6,24.2,72,49.5,22.3,-0.35,926,12.44,4.77,66,548.4,260.6,-114.9
5498,Morges,La Sarraz,46.6590583,6.5124448,560.8,4,5,2.3,1,772,634,453,15,37.7,46.1,1.2,0.5,337.5,25.4,204,38.1,26.2,0.3,2599,8.82,4.14,66,212.3,431.1,77.7
5499,Morges,Senarclens,46.6004691,6.4868169,636.7,1,1,5.4,0,394,606,533,7.6,5.6,86,0.8,2.03,123.7,37.3,32,40,29.3,1.96,491,9.68,4.64,68.5,661,404.3,-53.6
5501,Gros-de-Vaud,Sullens,46.5931372,6.5661454,649.5,6,11,5.5,0,390,608,488,16.4,12.6,71,0,6.33,306.4,36.1,62,39.5,26,1.57,1198,8.98,3.17,64,1181.6,1056.3,491.7
5503,Gros-de-Vaud,Vufflens-la-Ville,46.5783726,6.5386727,664.7,6,2,4.2,1,540,493,394,20.2,24.4,54.4,0.9,0.34,248.3,40.4,112,35.3,30.8,1.88,1336,7.57,3.3,67,407.9,641.3,143.9
5511,Gros-de-Vaud,Assens,46.6127871,6.6225936,814.4,1,4,3.3,1,840,691,576,11.2,13.6,74.5,0.7,0.55,200.7,20.4,140,37.2,23.5,1.94,1698,9.41,2.94,70,10.5,582.1,582.1
5512,Gros-de-Vaud,Bercher,46.6920285,6.7089748,603.6,4,1,3.4,1,424,669,529,17.7,26.7,55.2,0.5,0.92,311.5,37,69,43.3,27.5,3.41,1330,9.64,4.19,79,1460.9,913,-895
5514,Gros-de-Vaud,Bottens,46.6169088,6.6607269,601.9,1,2,4.2,0,692,848,625,10,19.9,69.9,0.1,1.91,200.3,23.3,83,40.7,23.7,1.77,1378,10.4,4.06,72.5,466.6,418.3,240
5515,Gros-de-Vaud,Bretigny-sur-Morrens,46.596563,6.640643,662.9,0,0,3.2,0,284,745,644,11.3,25,63.4,0.4,0,311.1,19,49,37,18.1,1.26,893,9.68,4.9,78,187.9,673.7,634
5516,Gros-de-Vaud,Cugy,46.815539,6.8910259,583.5,1,3,5,0,291,809,658,29.6,38.1,32.3,0,0.09,939.2,32.7,209,39.9,26.9,0.19,2733,9.64,4.78,76,167.9,792.8,731.1
5518,Gros-de-Vaud,Echallens,46.6381163,6.6346951,561.3,8,16,3.2,1,665,673,591,25.1,13.4,60.5,1.1,0.68,986.8,26.2,501,37.1,25.4,0.24,6572,8.75,3.59,72.5,681.7,1001.2,227
5520,Gros-de-Vaud,Essertines-sur-Yverdon,46.7152242,6.6383585,689.9,1,1,5.3,0,973,698,457,6.7,26,67.1,0.2,2.92,113.3,34.8,69,41.2,22.5,2.38,1105,11.66,3.7,74,2765.2,779.6,-993.3
5521,Gros-de-Vaud,Etagnières,46.6001382,6.6134167,672.7,2,0,3.2,1,378,670,588,13.2,16.1,70.1,0.5,0,310.1,22.7,90,38.1,24.7,0.66,1172,7.19,4.51,73,313.8,1633.7,1570.4
5522,Gros-de-Vaud,Fey,46.675524,6.6827085,617.2,0,1,3.2,1,742,690,556,6.6,26,67.3,0.1,0.33,104,33.8,43,42.7,23.5,1.85,763,12.36,4.62,75,0.8,563.8,562.1
5523,Gros-de-Vaud,Froideville,46.6012433,6.6816355,581.8,2,1,3.9,1,704,909,752,12.5,51.4,35.9,0.1,0,385.3,35.1,114,43.6,25.4,2.31,2728,10.04,4.38,72,381.8,774.8,705.4
5527,Gros-de-Vaud,Morrens,46.5904805,6.6267885,621.3,1,0,5.5,0,371,719,623,16.2,19.4,63.6,0.8,1.59,311.2,37.5,67,40.5,32.2,1.79,1142,9.64,3.16,74,214.6,602.2,307.6
5529,Gros-de-Vaud,Oulens-sous-Echallens,46.6433334,6.5781518,729.9,2,7,6.2,0,588,610,491,11.4,24.7,63.9,0,1.44,102.2,29.6,48,37.7,26.2,2.49,600,11.39,4.13,71,156.2,1025.1,1000.2
5530,Gros-de-Vaud,Pailly,46.7013191,6.6745,654.5,0,0,4.8,0,576,705,539,8.2,18.2,72.6,1,0,99.8,40,40,43.5,22.5,1.51,576,12.19,4.59,76,692.5,1640.1,95.4
5531,Gros-de-Vaud,Penthéréaz,46.6818849,6.6035686,673.7,2,1,4.2,0,571,640,483,6,30.5,63.4,0.2,0,76.9,29.2,34,37.5,20.2,0.48,437,10.16,3.23,74,260,645.3,694.9
5533,Gros-de-Vaud,Poliez-Pittet,46.6277599,6.6826495,695.2,0,1,3,0,499,854,696,10.4,35.5,53.9,0.2,0.28,174.9,25.4,63,40.9,25,-0.45,876,11.2,3.54,73,673.7,593.3,115.4
5534,Gros-de-Vaud,Rueyres,46.6937921,6.6926541,600,0,0,3.2,0,199,623,521,14.6,18.6,66.8,0,0.84,151,30,15,42,31.6,-0.46,302,8.25,2.64,73,665.3,788.9,293.9
5535,Gros-de-Vaud,Saint-Barthélemy,46.6355663,6.6001447,650.8,0,1,5.3,0,414,614,567,8.2,12.3,79,0.5,0.65,201.2,33.4,53,39.7,23.2,0.22,829,8.72,3.07,75,711.3,-68.3,-1188.8
5537,Gros-de-Vaud,Villars-le-Terroir,46.6569364,6.6387429,608.5,1,1,2.2,0,714,668,588,10.9,14.4,74.2,0.4,2.36,183.1,25.4,85,42,25.1,4.7,1298,11.54,3.29,76,433.6,639.8,674.4
5539,Gros-de-Vaud,Vuarrens,46.6863257,6.6475677,630.7,1,2,4.2,0,896,706,583,6.7,24.1,69.1,0.1,4.65,123,38.3,68,47.3,16.6,1.65,1103,11.57,4.43,73.5,223.4,764.3,622.5
5540,Gros-de-Vaud,Montilliez,46.64512105,6.68350041199713,650.1,5,2,2.7,1,1184,775,612,8.4,21.5,70.1,0.1,0.73,159.7,32.7,127,37.5,23.2,2.26,1894,8.6,3.75,72.5,430.2,487.3,317.9
5541,Gros-de-Vaud,Goumoëns,46.6588604,6.60448910808263,585.1,0,0,4.3,0,1067,661,488,7.7,20.8,71.1,0.4,2.55,113.4,34.4,76,51.3,32.1,2.34,1212,13.79,4.43,75.5,1175.7,605.9,423.7
5551,Jura-Nord vaudois,Bonvillars,46.8375743,6.6706023,662.9,0,0,2.6,1,747,1347,429,7.5,44,47.7,0.8,0,69.9,35.8,37,37.6,38.9,-0.3,526,7.39,3.99,56,113.2,204.5,98.9
5552,Jura-Nord vaudois,Bullet,46.8309314,6.5546431,648,3,4,3.2,0,1688,1607,868,5.7,45.1,48.8,0.4,0.2,40.1,46.8,60,31.1,53.3,1.09,675,9.22,2.46,71.5,378.6,294.1,-296.8
5553,Jura-Nord vaudois,Champagne,46.8302611,6.6580976,637.4,2,0,6.3,0,391,736,438,13.8,35,49.6,1.5,0,273.2,28.5,103,38.8,24,0.82,1071,7.99,4.55,65,956.4,515.5,-340.5
5554,Jura-Nord vaudois,Concise,46.8511242,6.7205199,617,1,0,3.8,1,1138,1321,427,7.8,67.2,24.8,0.2,0.36,89.9,33.7,72,36.3,28,1.05,1022,9.28,3.59,75,1093.3,1085.8,529.4
5555,Jura-Nord vaudois,Corcelles-près-Concise,46.8480696,6.7079314,589.1,0,0,3.6,0,407,1288,429,11.5,42,45.9,0.5,0,104.7,37.1,33,43,43.4,2.54,425,8.98,2.67,69,944,350.9,350.9
5556,Jura-Nord vaudois,Fiez,46.8280744,6.6240029,662.9,1,0,4.8,0,682,1589,456,4,34.9,60.7,0.4,0,63.8,45.8,28,43.5,28.9,1.38,436,8.94,3.9,69,176.6,564.4,564.4
5557,Jura-Nord vaudois,Fontaines-sur-Grandson,46.8353764,6.6193942,668.3,0,0,3,0,793,1476,483,2.8,51.1,45.8,0.4,0,25.3,39.6,17,35.9,19.5,2.29,199,8.41,4.21,69,15.4,237.1,190.2
5559,Jura-Nord vaudois,Giez,46.8117633,6.6177511,650.5,0,0,3,0,476,618,468,6.7,35.1,57.6,0.6,0,96.4,37.3,38,33.3,29.4,0.37,459,6.22,3.56,66,1473.4,1350.7,4222.8
5560,Jura-Nord vaudois,Grandevent,46.8388002,6.6065632,692,0,0,5.5,0,346,1390,583,4.3,52,43.6,0,0,68.9,61.4,14,36.6,30.3,-0.65,237,8.86,3.8,71,1029,372.5,372.5
5561,Jura-Nord vaudois,Grandson,46.8086306,6.6417532,596.5,7,5,4.2,1,785,542,429,26.4,7.8,63.7,2.2,1.35,431.3,28,220,33.2,30.1,0.32,3386,8.43,3.31,69,713,646.4,298.1
5562,Jura-Nord vaudois,Mauborget,46.8558706,6.6146584,511.1,1,0,2.9,0,552,1431,920,4.3,70.8,24.6,0.2,0.86,24.3,60.7,11,33.3,69.7,1,134,6.52,1.45,70,148.9,19.4,19.4
5563,Jura-Nord vaudois,Mutrux,46.8825207,6.7261849,701.3,0,1,2.8,0,321,1119,624,5,61.7,33,0.3,0,44.9,36.2,17,49.4,39,-2.07,145,10.6,5.3,80,11,-128.1,-160.8
5564,Jura-Nord vaudois,Novalles,46.8284542,6.5956886,650.5,0,0,3,0,201,1059,487,6,48.8,45.3,0,4.55,49.5,39.1,12,43.6,41.8,-0.5,102,14.14,5.05,76,0,40.9,41.3
