Code,Districts,Libellé,Latitude,Longitude,Voitures de tourisme pour 1000 habitants 2023,Nb. d'accidents avec blessés/tués 2022,Nb. d'accidents avec dommages matériels 2022,Part des voitures électriques 2023,Gare/station,Surface totale,Altitude maximale,Altitude minimale,Habitat et infrastructures (part du territoire) 2020,Surfaces boisées (part du territoire) 2020,Surfaces agricoles (part du territoire) 2020,Surfaces improductives (part du territoire) 2020,Taux d'accroissement des logements 2021,Densité de population 2023,Part des maisons individuelles 2022,Etablissements tous secteurs 2021,Rapport de dépendance des jeunes 2023,Rapport de dépendance des personnes âgées 2023,Taux annuel 2016-2020,Population résidante permanente 2023,Part des élèves du primaire dans la population 2022,Part des élèves du secondaire inférieur dans la population 2022,Coefficient d'imposition communal 2022,Dépenses d'investissement par habitant (moyenne des 3 dernières années 2022),Marge d'autofinancement par habitant 2022,Excédent ou insuffisance de financement par habitant 2022
5742,Jura-Nord vaudois,Agiez,46.7199018,6.508106,605.3,1,1,2.2,0,547,642,450,4.9,31.6,62.7,0.7,0,70.1,26.3,23,45.7,26,6.5,383,9.97,4.46,76,531.4,682.3,479.1
5743,Jura-Nord vaudois,Arnex-sur-Orbe,46.6941594,6.5187517,582.6,3,1,4.6,1,763,614,437,6.6,20.1,72.5,0.9,0,86.7,27.6,60,39.9,32.6,0.2,661,9.54,2.6,71,1050.5,723.4,-243.1
5744,Jura-Nord vaudois,Ballaigues,46.7305278,6.4132441,614.5,1,3,2.5,0,911,1243,592,10.4,48.7,39.8,1,0,131.7,19.2,61,34.3,31.9,0.94,1193,8.33,2.95,65,475.6,940.6,847.8
5745,Jura-Nord vaudois,Baulmes,46.7903981,6.5212523,620.4,4,5,1.9,1,2250,1559,564,4.5,54.7,39.9,0.9,3.04,50.9,17.4,86,34.1,30.3,0.45,1146,7.69,2.12,76.5,1396.3,360.8,-319.2
5746,Jura-Nord vaudois,Bavois,46.6853078,6.5651634,593.2,2,1,4.4,1,929,603,437,8.8,17,73.5,0.6,0,110.9,24.4,68,32.5,18.5,1.43,1037,9.12,2.68,72,833.4,242.9,185.5
5747,Jura-Nord vaudois,Bofflens,46.7045569,6.4989467,720.2,1,1,2.9,0,416,659,529,6,23.1,70.9,0,2.04,46.1,36.7,21,42.1,39.3,2.31,194,9.31,4.41,69,2505.1,1035.1,716.7
5748,Jura-Nord vaudois,Bretonnières,46.7122384,6.4734908,636,0,0,1.2,1,553,842,520,9.2,46.3,43.6,0.9,0,47.5,48.4,23,42.9,25.3,0.96,259,12.88,3.79,70.5,1851.1,623.9,892.8
5749,Jura-Nord vaudois,Chavornay,46.7101091,6.56418630393576,604.5,7,9,2.9,1,1925,620,432,13.6,18.3,65.7,2.3,2.3,281.1,23.2,309,38.3,20.4,2.06,5423,9.47,3.85,70.5,769.7,1092.1,345.5
5750,Jura-Nord vaudois,Les Clées,46.7320659,6.4626883,666.7,2,2,2.3,0,703,871,515,5.7,69.1,23.6,1.6,0,27.3,30.3,18,34,47.2,1.53,192,6.45,2.69,80,1444.7,1567.1,657.5
5752,Jura-Nord vaudois,Croy,46.6945678,6.4771721,545,0,2,4.7,1,452,722,527,6.9,48,44.9,0.2,0,88.6,32,30,33.6,51.9,3.65,397,6.99,1.55,74,270.4,343.7,-353.1
5754,Jura-Nord vaudois,Juriens,46.6911431,6.4500103,634.3,1,0,3.2,0,932,1292,715,3.2,50.2,46.6,0,0,37.5,27.9,27,32.7,31.3,2.7,351,8.96,2.89,79,897.5,326.3,-797.5
5755,Jura-Nord vaudois,Lignerolle,46.7407875,6.4559997,603.9,0,0,2.5,0,1062,1416,587,5.3,45.8,48.8,0.2,0,43.4,31.8,36,45,31.3,1.8,462,10.51,3.8,78.5,347.3,552.4,1138.1
5756,Jura-Nord vaudois,Montcherand,46.7330803,6.5102099,580.6,0,2,4.2,0,303,615,450,16.2,31.4,51.2,1.3,0,160.9,40.1,29,43,26.8,1.92,494,9.48,4.64,72,69.6,394,314
5757,Jura-Nord vaudois,Orbe,46.724144,6.5317943,552.9,8,12,2,1,1204,558,432,22.6,3.2,70.8,3.5,1.03,649.5,16.3,474,37.5,25.4,1.15,7827,9.35,3.45,75.5,1060.7,853.2,-343.2
5758,Jura-Nord vaudois,La Praz,46.6583364,6.4314367,628.7,0,0,4.7,0,511,1301,731,3.5,50.9,45.6,0,0,40.2,43.5,14,33.3,30.2,2.43,206,10.38,1.64,83,624.7,1003.2,453
5759,Jura-Nord vaudois,Premier,46.7047978,6.444282,594.9,1,1,4.3,0,606,1171,739,3.6,49.2,47,0.2,0,38.1,47,21,50.9,57.1,2.7,233,11.02,4.66,79.5,417.5,1808.7,1808.7
5760,Jura-Nord vaudois,Rances,46.7602787,6.5300272,638.1,0,3,3.9,0,988,1588,459,5.9,34,59.5,0.6,0,53.4,31.1,39,31.4,31.7,2.05,525,7.87,2.11,76.5,1576.1,541.7,306.5
5761,Jura-Nord vaudois,Romainmôtier-Envy,46.6932583,6.4611912,535.9,1,1,2,1,697,912,535,5.9,67,27,0.1,0,82.4,33.3,57,39.8,32.3,-0.98,575,9.84,3.76,81,13.4,144.4,144.4
5762,Jura-Nord vaudois,Sergey,46.7505419,6.4995735,695.7,0,0,2.1,0,148,637,542,14.2,21.6,63.5,0.7,0,93.8,44.1,13,33.7,20.2,0.88,137,8.57,5,78,697.3,963.1,-1068.8
5763,Jura-Nord vaudois,Valeyres-sous-Rances,46.7528278,6.5249548,675.7,1,1,5.5,0,635,609,432,7.6,11,80.6,0.8,2.33,92,41.4,57,40.2,29.7,-0.57,583,10.73,3.96,71,20,163.5,169
5764,Jura-Nord vaudois,Vallorbe,46.7120146,6.3792318,515.2,6,5,2.1,1,2317,1482,604,10.7,66.3,21.4,1.6,2.5,177.7,18,242,39,29.5,0.84,4121,9.73,2.96,71.5,1751.2,1105.2,-195.9
5765,Jura-Nord vaudois,Vaulion,46.6883547,6.3894066,668,0,2,2.5,0,1318,1483,853,3.5,49,47.3,0.2,0,37,23.9,50,33.2,34.9,0.6,486,9.52,2.69,81,353.4,413.9,413.9
5766,Jura-Nord vaudois,Vuiteboeuf,46.807388,6.5493754,634,2,4,1.6,1,510,1157,488,9.2,43.5,47.1,0.2,0,115.8,26.3,51,35.4,21.7,1.24,586,8.78,3.04,75,915.5,484.2,694.5
5785,Broye-Vully,Corcelles-le-Jorat,46.6058744,6.7407986,681,1,0,2.7,0,794,927,729,6.2,41.4,52.3,0.1,1.24,63,28.1,39,39,32.2,1.5,500,7.63,3.09,75,304.2,815.4,214.3
5790,Lavaux-Oron,Maracon,46.5500232,6.8727444,630.6,2,0,2.3,0,442,883,724,7.2,22.4,67.2,3.2,0,129.5,42.5,46,40.7,27.6,4.62,567,8.64,4.78,74.5,732.5,726.2,520.9
5792,Lavaux-Oron,Montpreveyres,46.581339,6.740799,619,3,6,5.3,0,416,929,733,9.9,50.5,39.4,0.2,0,153.4,30.8,38,35.8,20.2,1.26,632,6.2,4.08,75.5,406.4,786.6,341.5
5798,Broye-Vully,Ropraz,46.6153223,6.7515592,665.4,0,2,4.2,0,476,843,604,10.5,20.4,68.7,0.4,0,111.2,20.2,52,39.3,27.4,4.78,535,10.4,3.59,77.5,777,1476.6,505.5
5799,Lavaux-Oron,Servion,46.5767948,6.7845039,651,0,0,4.6,0,628,855,691,18.5,18.6,62.9,0,0.56,343.7,42.7,160,40.9,27.7,2,2172,10.07,2.95,69,849.6,823.9,235.3
5803,Broye-Vully,Vulliens,46.6212858,6.7927903,630.4,2,1,3.8,0,668,778,524,6.9,26.5,64.4,2.2,0,97.4,33.7,41,43.9,24.8,7.57,646,10.44,3.16,74,119.1,-22.1,-295.2
5804,Gros-de-Vaud,Jorat-Menthue,46.6305367,6.71920732198481,644.4,5,3,3.4,0,1770,916,612,6.9,36.6,56.4,0.1,0.72,88.2,31.2,110,38.7,27.2,0.91,1557,8.63,4.86,70.5,627.6,363.3,363.8
5805,Lavaux-Oron,Oron,46.55583515,6.82736275700439,570.8,6,13,2.1,1,2629,850,589,13,18.8,67.7,0.5,0.89,234.9,23.6,453,40.1,28,1.37,6173,9.15,3.63,69,2650.4,1106.5,137
5806,Lavaux-Oron,Jorat-Mézières,46.5967734,6.7764275151885,614.1,5,4,3.9,0,1111,830,650,12.9,21.3,65.8,0,1.51,286.7,32.3,231,40.1,28.7,1.32,3177,10.06,3.47,73,383.8,993.8,702.6
5812,Broye-Vully,Champtauroz,46.760598,6.789151,645.5,1,0,2.5,0,303,734,627,5.9,19.1,74.6,0.3,10.14,61.6,46.1,12,52.7,15.2,2.59,188,8.88,3.55,77,516.6,377.7,362.2
5813,Broye-Vully,Chevroux,46.8898441,6.9053929,659,0,0,3.2,1,433,488,429,9.7,19.9,47.8,22.6,2.78,154.1,51.1,33,34.7,35.4,2.64,524,9.39,2.49,68.5,8286.4,2040.5,5025.2
5816,Broye-Vully,Corcelles-près-Payerne,46.8331849,6.9614432,566.6,2,3,2,1,1214,529,432,13.7,5.2,79,2.1,1.46,240.5,23,182,39.4,23.2,2.88,2915,8.86,3.15,68.5,975.6,665,170.6
5817,Broye-Vully,Grandcour,46.8718747,6.928747,649,2,1,1.8,0,1022,508,437,7.3,14.7,77.4,0.6,0.43,98.6,36.2,74,42.6,28.2,2.24,1006,9.79,3.2,73.5,744.6,805.3,416.6
5819,Broye-Vully,Henniez,46.7422549,6.8834048,579.1,3,1,5.8,1,261,607,464,15.3,25.7,55.6,3.4,0,173.9,26.5,21,47.9,23.4,4.04,454,10.87,4.83,69,1545.1,775,-1562.8
5821,Broye-Vully,Missy,46.8798752,6.9698165,594.2,1,1,4.4,0,305,478,432,11.5,3.3,83.9,1.3,0.57,121.2,35.8,30,48.3,37.4,0.48,377,10.08,3.1,72,106.8,397.6,302.6
5822,Broye-Vully,Payerne,46.8208047,6.939126,531.3,25,37,2.7,1,2423,636,436,26.2,15.1,56.7,1.9,0.39,437.4,16,834,40.9,27.5,2.1,10577,9.37,3.78,73,505.9,604.7,341.1
5827,Broye-Vully,Trey,46.769255,6.9251725,610.2,0,1,5.2,1,377,631,453,9.5,17.8,71.4,1.3,3.52,83.1,34,27,41.7,26.7,3.81,315,7.62,4.97,78,873.2,818.2,-310.8
5828,Broye-Vully,Treytorrens,46.7731198,6.8003881,672.7,0,0,4.1,0,311,735,577,6.1,20.9,72.7,0.3,0,35.5,39.7,12,31.3,39.1,-3.42,109,4.76,3.81,81.5,2934.3,1253.3,1723.8
5830,Broye-Vully,Villarzel,46.7478499,6.9118617,598.8,1,4,4.2,0,769,798,472,6.2,23.7,70.1,0,1.35,68.5,34.2,41,51.2,28,2.99,525,9.47,3.7,75,1964,870.2,442.6
5831,Broye-Vully,Valbroye,46.72472195,6.89195945120645,607.9,5,7,2.5,0,3353,805,456,8.8,25.1,65.6,0.5,0,101.5,29.7,272,41.4,33.6,3.2,3406,8.96,3.39,70.5,543.4,1032,714.7
5841,Riviera-Pays d'Enhaut,Château-d'Oex,46.4739581,7.13056,592.6,10,2,1.7,1,11358,2547,870,3,37.2,43.8,16,0.86,31.9,22.9,404,35.8,41.9,0.12,3625,7.99,3,81.5,1156.8,1580.3,617.4
5842,Riviera-Pays d'Enhaut,Rossinière,46.4675176,7.083061,545.5,5,1,1.7,1,2335,2070,791,3.2,50.7,37.2,9,0,22.6,41.4,57,37.9,37.9,-0.41,529,9.93,3.93,81,484.3,884.8,37.1
5843,Riviera-Pays d'Enhaut,Rougemont,46.4899991,7.2106992,858.2,2,2,0.7,1,4854,2457,943,2.9,34.9,46.7,15.5,0,16.4,25,109,33.1,49.9,-0.82,796,7.26,2.06,79,2020.7,1683.4,-176.9
5851,Morges,Allaman,46.4707776,6.396174,644.6,5,3,2.8,1,260,432,372,23.5,16.9,58.1,1.5,0,165.8,33,73,30.4,29.3,0.63,431,4.52,3.57,65,862.4,985.5,826.4
5852,Nyon,Bursinel,46.438423,6.3053467,752.4,0,2,3.6,0,180,437,372,23.3,10,66.7,0,4.42,292.7,24.5,36,42.4,30.1,0.31,521,9.74,4.77,62,94.6,786.7,723.4
5853,Nyon,Bursins,46.4515535,6.2906369,748.4,1,0,4.7,0,340,834,405,14.4,32.1,53.5,0,0,236.2,26.2,53,35.2,28.6,0.23,796,9.66,3.52,71,316.6,551.8,-173.4
5854,Nyon,Burtigny,46.4687203,6.2567707,558,0,0,3.5,0,569,896,620,6.2,34.4,58,1.4,0,72.5,33,39,43.2,27.8,3,412,10.63,3.14,78.5,118.8,1029.9,946.4
5855,Nyon,Dully,46.4304617,6.2957383,743.3,2,0,5.5,0,163,431,370,33.1,16.6,50.3,0,0.7,383,50.5,47,36.9,30.8,-0.2,632,4.91,2.54,53,111.7,1289.6,1158.7
5856,Nyon,Essertines-sur-Rolle,46.4924891,6.3170166,774,2,2,3.9,0,701,896,428,8.1,23,68.8,0.1,0,110.5,34.2,45,51.2,25.8,1.58,768,8.81,4.01,66.5,1079.5,294,-876.1
5857,Nyon,Gilly,46.4575111,6.2969883,732.2,3,2,4.8,0,774,893,384,11.5,34.6,53.6,0.3,0,190.1,27.8,86,36.2,22.6,3.8,1475,8.99,2.97,64.5,156.8,665.8,557
5858,Nyon,Luins,46.442819,6.271154,664,2,0,4.8,0,264,725,395,14.8,11,73.5,0.8,0,235.6,24.8,60,35,23.4,-0.24,629,10.52,2.91,58.5,18.3,380.9,325.7
5859,Nyon,Mont-sur-Rolle,46.470957,6.3365929,602.2,5,3,3.7,0,385,769,376,30.4,15.1,54.5,0,0.34,721.2,31.8,143,40.2,28,-0.13,2784,8.66,4.49,63.5,320.3,445.8,-159.6
5860,Nyon,Perroy,46.4681469,6.3642905,640.4,1,4,4.5,0,288,664,372,34.4,5.9,59,0.7,0.41,549.8,26.7,112,35.6,24.9,1.1,1600,8.11,3.37,58.5,163.7,188.9,86.2
5861,Nyon,Rolle,46.4601563,6.3380469,523.3,5,7,3.3,1,273,442,370,71.4,5.1,21.6,1.8,0.64,2355.1,9.5,594,44.3,26.4,0.47,6453,7.74,3.37,59.5,215.4,321.2,11.7
5862,Nyon,Tartegnin,46.4666552,6.3156804,618.5,0,0,1.9,0,109,813,428,7.3,38.5,53.2,0.9,0,229.4,19.5,23,36.8,24.5,0,250,8.43,3.61,79,448.2,76.8,-126.9
5863,Nyon,Vinzel,46.4476073,6.2793859,697.9,1,1,4.9,0,109,735,423,14.7,18.3,67,0,0,346.4,30.7,32,34.9,25.2,2.27,381,7.14,2.38,67,894.3,-104.5,-190.3
5871,Jura-Nord vaudois,L'Abbaye,46.6492716,6.3186169,633.1,6,1,4.2,1,3191,1650,986,4.3,60.1,34.2,1.4,4.12,48.1,33.6,139,36.7,48.6,0.59,1534,7.89,3.06,77.4,526.4,643.8,232
5872,Jura-Nord vaudois,Le Chenit,46.6046637,6.2337695,602.4,8,9,3.1,1,9919,1609,1004,3.2,68.1,27.2,1.4,0.36,47.5,20.9,384,37.1,40.9,-0.04,4712,7.96,3.16,67.5,430.6,1378.3,954.3
5873,Jura-Nord vaudois,Le Lieu,46.6462186,6.280313,619.5,5,1,1.8,1,3252,1419,988,3.6,59.9,34.3,2.2,0.18,28,36.9,87,38.7,44.8,0.43,910,8.01,3.95,70,406.1,1762.3,1060.7
5882,Riviera-Pays d'Enhaut,Chardonne,46.4770903,6.8271259,633.1,4,9,5.9,1,1028,1079,372,17.4,36.6,45.6,0.4,0.06,313.6,25.5,229,30.5,37.9,1.48,3243,5.89,2.63,68,363.7,1355.5,1063.3
5883,Riviera-Pays d'Enhaut,Corseaux,46.4722747,6.8320071,587.4,6,3,4.8,1,107,510,372,83.2,0,15.9,0.9,1.49,2186,18.7,148,32.5,48.2,1.1,2339,6.2,2.47,67.5,868.6,979.4,201.2
5884,Riviera-Pays d'Enhaut,Corsier-sur-Vevey,46.4705779,6.8436858,490.2,6,4,3.1,0,673,949,384,21.5,34,43.8,0.6,0,508.8,16.8,217,33.1,32.4,0.12,3429,7.61,2.94,64.5,565.9,716.9,-264.4
5885,Riviera-Pays d'Enhaut,Jongny,46.4785042,6.8414194,572.6,1,2,7.5,1,215,787,528,33,20.9,45.6,0.5,0.89,888,39,79,37,30.7,2.93,1918,9.12,3.04,69.5,117.8,386.5,233
5886,Riviera-Pays d'Enhaut,Montreux,46.4310831,6.9129921,440,31,45,2.7,1,3346,2022,371,20,51.1,24.4,4.5,0.14,803.3,10.6,2070,33.9,35.3,-0.21,26837,6.68,2.56,65,357.8,378.5,208.6
5889,Riviera-Pays d'Enhaut,La Tour-de-Peilz,46.4537524,6.8569063,443.5,16,16,3,1,326,508,370,76.1,2.5,21.5,0,0.98,3866.6,11.4,621,34.1,34.4,0.96,12605,7.68,3.12,64,1018,354.8,-695.5
5890,Riviera-Pays d'Enhaut,Vevey,46.4602978,6.8418655,366.8,35,34,2.5,1,237,507,372,89.9,4.6,2.5,3,0.18,8397.9,2.4,2004,29.7,23.3,0.22,20155,7.26,2.74,74.5,250.6,284.1,-9.3
5891,Riviera-Pays d'Enhaut,Veytaux,46.4215725,6.9275648,470.6,5,2,1.8,1,677,2042,372,6.4,73.4,15.1,5.2,0,147.3,11.4,67,28.5,31.3,2.98,997,6.19,2.37,69.5,2699.9,382.9,-2350
5892,Riviera-Pays d'Enhaut,Blonay-St-Légier,46.4650397,6.8951981,570.7,15,24,5.5,0,3129,1885,427,21.2,45.6,31.2,2,0.89,395,44.6,727,39.2,34.2,1.07,12340,7.45,3.39,68.5,450.1,811.7,482.2
5902,Jura-Nord vaudois,Belmont-sur-Yverdon,46.7454798,6.6241604,688.1,1,0,3.3,0,650,604,431,7.1,18,74.3,0.6,8.99,68.6,40.9,40,35.8,22.9,1.85,443,10.6,3.46,70,1070.6,583.2,-67.7
5903,Jura-Nord vaudois,Bioley-Magnoux,46.7255605,6.7108156,627.5,0,0,3.1,0,431,717,486,7.4,25.5,65.9,1.2,0,59,46.3,21,38.7,46,0,253,12.15,0.4,72,0,693.1,693.1
5904,Jura-Nord vaudois,Chamblon,46.7772764,6.6044112,614.6,0,1,3.8,0,286,552,431,24.1,24.8,50,1,0,196.2,35.7,34,31.4,36.5,0.5,561,7.58,1.94,66,434.2,489.7,20.6
5905,Jura-Nord vaudois,Champvent,46.7828052,6.5726094,618.6,3,4,2.7,1,900,586,435,6.7,23.8,69.2,0.3,0.69,81,27.4,56,39.6,24.7,1.65,731,11.31,3.81,70,100,735,505.7
5907,Jura-Nord vaudois,Chavannes-le-Chêne,46.7768814,6.7780279,694.3,1,0,2.3,0,401,720,524,7.5,10.7,80.8,1,1.23,79.3,39.9,30,34.7,29.5,1.94,317,8.54,4.75,75,147.9,507.6,340.8
5908,Jura-Nord vaudois,Chêne-Pâquier,46.771165,6.7684976,571.4,0,0,13,0,207,727,531,6.3,24.2,69.1,0.5,0,82.9,43.2,16,49,26,0.71,175,14.72,2.45,75,1103.4,331.7,-738.5
5909,Jura-Nord vaudois,Cheseaux-Noréaz,46.7820326,6.6718258,554.6,3,7,5.9,0,602,615,429,13,51.8,25.1,10.1,0,125.3,71.3,34,43.3,41.5,2.55,739,7.9,4.5,67,385,546.7,93.6
5910,Jura-Nord vaudois,Cronay,46.7571842,6.6966405,600.5,0,0,3.1,0,658,664,451,6.8,32.7,60,0.5,0,64.2,40.2,29,46.8,43.2,0.84,422,12.2,2.44,77,372.6,565.2,-362.4
5911,Jura-Nord vaudois,Cuarny,46.7700368,6.6884422,742.7,1,0,2.2,0,460,668,465,6.7,26.3,67,0,0,53.1,31.1,24,36.3,29.5,-0.32,242,10.59,1.27,77,0,76.1,76.1
5912,Jura-Nord vaudois,Démoret,46.7466929,6.7570249,642,0,0,1,0,429,765,661,5.6,17,77.4,0,0,37.4,29.2,24,41.6,38.2,5.82,160,10.78,0,78,35.8,257.9,153.2
5913,Jura-Nord vaudois,Donneloye,46.744325,6.7155281,614.5,2,4,4.8,0,897,736,451,7.6,24.2,67.8,0.4,1.06,102,40.9,70,46.6,26.1,1.57,919,11.05,3.43,73,124.9,380.4,292.7
5914,Jura-Nord vaudois,Ependes,46.7431583,6.6083432,668.4,2,0,2.7,1,480,567,430,10.2,13.1,74.4,2.3,0,80.7,28.1,39,41.5,24.4,2.61,388,10.22,3.23,73.5,956.3,1718.6,1022.7
5919,Jura-Nord vaudois,Mathod,46.7667908,6.5647296,612,1,2,2.7,0,661,533,431,6.5,8,83.5,2,0.72,107.6,20.7,41,34.1,21,1.47,709,7.75,2.78,72,204.5,786.3,766
5921,Jura-Nord vaudois,Molondin,46.7606762,6.7492454,659.6,0,0,1.6,0,552,731,487,5.6,29.5,64.9,0,0,51.4,33.3,29,42.3,30.7,3.69,282,11.67,1.17,81,0,284,284
5922,Jura-Nord vaudois,Montagny-près-Yverdon,46.7914576,6.6117904,1513.4,5,11,3,1,351,504,430,24.5,6.3,68.4,0.9,2.77,220.7,37.8,159,39.2,28.2,0.14,777,7.79,5.45,64.5,870.1,458.7,155.9
5923,Gros-de-Vaud,Oppens,46.714312,6.6923429,631.1,1,0,3.1,0,362,666,498,7.7,27.6,63.5,1.1,0,56.1,37.8,23,32,29.6,2.51,202,10.4,2.97,81,118.9,840.4,840.4
5924,Jura-Nord vaudois,Orges,46.8082337,6.5875293,607.1,1,0,2.7,1,405,617,484,6.7,12.6,80.7,0,0,103.5,27.6,30,40,17,4.11,416,11.06,3.69,74,564.1,335.7,-515.7
5925,Jura-Nord vaudois,Orzens,46.7239217,6.6830459,657.4,1,0,2.1,0,421,686,496,4.8,16.2,78.9,0.2,0,51,33.6,20,32.3,40.3,0.12,214,5.19,3.77,79,244.3,172.7,122.6
5926,Jura-Nord vaudois,Pomy,46.7609575,6.6663747,576.8,0,3,4.7,0,560,641,472,8.6,16.1,75.2,0.2,3.13,155.4,36.2,59,43.8,24.2,1.39,875,10.25,3.57,71,828.2,693.7,33.2
5928,Jura-Nord vaudois,Rovray,46.7849701,6.7644976,586.7,0,0,2.6,0,323,690,486,7.4,20.4,71.8,0.3,0,62.2,32.6,15,50.9,30,4.36,199,15.74,3.05,71.5,1212.1,176.7,-24.9
5929,Jura-Nord vaudois,Suchy,46.7232325,6.5994077,612.1,0,1,3.6,0,667,609,465,5.4,37.6,56.7,0.3,0,100.2,32.7,43,45.2,15.5,2,665,10.88,4.47,70,164.4,710.3,680.2
5930,Jura-Nord vaudois,Suscévaz,46.7642362,6.5780348,513,1,0,4.2,0,413,538,430,4.8,10.7,80.9,3.6,0,52.2,28.9,16,59.4,45.3,0.25,217,9.55,2.73,72,148.4,1112.9,1047.1
5931,Jura-Nord vaudois,Treycovagnes,46.7738784,6.6092758,619,0,0,3.8,0,207,497,430,13.5,1.4,83.6,1.4,0.47,251,40,27,36.1,25,2.12,522,8.85,2.88,75,1023.1,758.1,565.4
5932,Jura-Nord vaudois,Ursins,46.734894,6.668296,585.5,0,0,5.8,0,339,689,565,4.7,20.1,75.2,0,0,69.6,34,11,36.7,31.7,3.18,234,9.57,3.04,75,121.2,526,328.4
5933,Jura-Nord vaudois,Valeyres-sous-Montagny,46.7983693,6.6105655,598,1,4,3.7,1,226,534,437,19,22.6,58,0.4,0.61,308.3,42.2,36,34.2,31.6,0.9,703,7.82,4.13,70.5,550.5,276.7,123.1
5934,Jura-Nord vaudois,Valeyres-sous-Ursins,46.7458204,6.655254,648.3,2,1,3.3,0,286,596,447,3.5,19.6,76.9,0,1.96,82.6,36.4,21,30.1,44.1,-0.61,237,7.47,1.66,77,0,1122,1122
5935,Jura-Nord vaudois,Villars-Epeney,46.7817278,6.6969935,712.8,0,0,6,0,88,580,489,8,15.9,76.1,0,0,117.4,52.3,6,42.6,23,-0.97,101,10.87,3.26,68,0,388.3,388.3
5937,Jura-Nord vaudois,Vugelles-La Mothe,46.81927,6.5676637,630.9,0,1,4.3,0,309,1061,498,4.5,62.8,30.7,1.9,0,49.2,41.7,14,42.9,23.1,0.74,151,8.03,5.84,70,66.7,43.2,28.9
5938,Jura-Nord vaudois,Yverdon-les-Bains,46.7785711,6.6409158,462.7,54,45,2.4,1,1353,573,429,52.6,8.3,33.6,5.5,0.41,2232,8.3,2259,36.9,30.3,0.35,30221,8.93,3.34,75,1125.9,581.2,-156
5939,Jura-Nord vaudois,Yvonand,46.7983158,6.7445021,539.4,5,6,3.4,1,1334,671,429,14.3,31.6,51,3,0.48,263.9,31.6,203,39.6,34,1.74,3536,9.63,3.65,71.5,1251.9,960.8,434.2
